objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,custom_button_url,image_thumb,image_alt_text,object_transcript
kumbemba_001,,Interviews with Pearson Kumbemba: Migrant to South Africa,"Mandala, Elias P.K.",2022-04-23,,"Pearson Kumbemba first traveled to Malawi in 1972, at the age of 21, upon finishing his “Leaving Certificate” (equivalent of eighth grade). His ability to attend school reflected his parents’ relatively prosperous position in the community. He decided to sign up with WNLA in order to acquire the funds he would need to woo a wife and establish a family. In the first interview, he describes the recruitment process, life in mine compounds, tensions and friendships across ethnic lines, and his job as a “Tchisa boy” (horse boy). He praises the food he was served and recalls reading newspapers.  He contracted a respiratory disease but received medical treatment in South Africa and recovered. In the second interview, Kumbembe goes into more detail regarding his family’s background, his children (including their own journeys to South Africa), and the time he was able to save his son’s life using the bicycle he bought with money earned in South Africa. He discusses the reenlistment bonus that he never received as a result of the recruitment halt of 1974.",Interethnic relations; bicycles; newspapers; remittances; bonus,"Mangochi, Malawi",-14.46,35.27,"Mandala, Elias P.K.; Kumbemba, Pearson",,Record,compound_object,English,,,compound_object,,,/transcripts/kumbemba_001.html,,,
kumbemba_photo_001,kumbemba_001,Photograph,"Mandala, Elias P.K.",2022-04-23,,Photo of Pearson Kumbemba on day of his interview,Interethnic relations; bicycles; newspapers; remittances; bonus,"Mangochi, Malawi",-14.46,35.27,"Kumbemba, Pearson",,Image,image/jpg,English,,,image,/objects/kumbemba_photo_001.jpg,/objects/small/kumbemba_photo_sm_001.jpg,,/objects/thumbs/kumbemba_photo_th_001.jpg,,
kumbemba_text_001,kumbemba_001,Pearson Kumbemba's 1972-74 Employment Record Book,Government of Malawi,1972-12-01,,"Pearson Kumbemba's Employment Record Book for a two-year contract from 1972-74, which documents his work history at Rustenberg Platinum Mintes",documentation,"Limbe, Malawi",-15.816667,35.05,"Kumbemba, Pearson",,Text,application/pdf,Chichewa,,,pdf,/objects/kumbemba_text_001.pdf,/objects/kumbemba_text_sm_001.jpg,,/objects/kumbemba_text_th_001.jpg,,
kumbemba_text_002,kumbemba_001,Pearson Kumbemba's 1974 Reengagement certificate,Witwatersrand Native Labour Association,1974-11-29,,"Pearson Kumbemba's Re-engagement certificate, which specifies the job and wage rate that Rustenberg Platinum Mine is offering him if he were to return on another contract within 12 months.",documentation; re-employment; Rustenberg Platinum mine,"Limbe, Malawi",-15.816667,35.05,"Kumbemba, Pearson",,Text,application/pdf,Chichewa,,,pdf,/objects/kumbemba_text_002.pdf,/objects/small/kumbemba_text_sm_002.jpg,,/objects/thumbs/kumbemba_text_th_002.jpg,,
kamsali_001,,"Application by Moses Kamsali Banda, miner","Dee, Henry",1927-05-08,,"Born in Chinteche, Kamsai Moses Banda first entered South Africa at Messina in 1915. Masquerading as a Mozambican, he worked at a Brakpan mine for 9 years. In 1925, he moved to work on the Messina copper mines. By mid-1927, when he applied to be re-employed on the mines, his family lived in Louis Trichardt while he was working further south in Lydenburg.",miner; Chinteche; Brakpan; Messina; Louis Trichardt; Lydenburg,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/kamsali_001.html,,,
kamsali_image_001,kamsali_001,Page 1,"Dee, Henry",1927-05-08,,"Born in Chinteche, Kamsai Moses Banda first entered South Africa at Messina in 1915. Masquerading as a Mozambican, he worked at a Brakpan mine for 9 years. In 1925, he moved to work on the Messina copper mines. By mid-1927, when he applied to be re-employed on the mines, his family lived in Louis Trichardt while he was working further south in Lydenburg.",miner; Chinteche; Brakpan; Messina; Louis Trichardt; Lydenburg,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/kamsali_image_001.png,/objects/small/kamsali_image_001_sm.png,,/objects/thumbs/kamsali_image_001_th.png,,
kamsali_image_002,kamsali_001,Page 2,"Dee, Henry",1927-05-08,,"Born in Chinteche, Kamsai Moses Banda first entered South Africa at Messina in 1915. Masquerading as a Mozambican, he worked at a Brakpan mine for 9 years. In 1925, he moved to work on the Messina copper mines. By mid-1927, when he applied to be re-employed on the mines, his family lived in Louis Trichardt while he was working further south in Lydenburg.",miner; Chinteche; Brakpan; Messina; Louis Trichardt; Lydenburg,"Johannesburg, South Africa",-26.195246,28.034088,South African National Archives,,Image,image/png,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/kamsali_image_002.png,/objects/small/kamsali_image_002_sm.png,,/objects/thumbs/kamsali_image_002_th.png,,
sam_001,,"Life history of Sam Banda, waiter, clerk and businessman","Dee, Henry",2014-05-16,,"Sam Banda (1918-1982) was a cosmopolitan hotelier and businessman. Travelling across Southern Africa he spoke numerous languages - Zulu, Xhosa, Portuguese, Afrikaans, Tswana, Pedi, along with English and Chitonga - after years working in the South African hotel industry. Sam first arrived in South Africa in 1950, but left to Zimbabwe in 1957, before returning to South Africa in 1973. In 1982 Sam returned to Malawi to recover from illness, but passed away within a few months.",waiter; clerk; businessman; Cape Town; Bulawayo; Mpopoma; Pretoria; Germiston Lake,"Yeoville, South Africa",-26.166667,28.05,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/sam_001.html,,,
sam_image_001,sam_001,"Life history of Sam Banda, waiter, clerk and businessman","Dee, Henry",2014-05-16,,"Sam Banda (1918-1982) was a cosmopolitan hotelier and businessman. Travelling across Southern Africa he spoke numerous languages - Zulu, Xhosa, Portuguese, Afrikaans, Tswana, Pedi, along with English and Chitonga - after years working in the South African hotel industry. Sam first arrived in South Africa in 1950, but left to Zimbabwe in 1957, before returning to South Africa in 1973. In 1982 Sam returned to Malawi to recover from illness, but passed away within a few months.",waiter; clerk; businessman; Cape Town; Bulawayo; Mpopoma; Pretoria; Germiston Lake,"Yeoville, South Africa",-26.166667,28.05,University of Glasgow,,Image,image/jpg,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,image,/objects/sam_image_001.jpg,/objects/sam_image_001.jpg,,/objects/sam_image_001.jpg,,
mtegha_001,,"Life history of Nkhunda Mtegha, miner and grocer","Dee, Henry",2014-05-16,,"Nkhunda Mtegha (c.1910-1952) was the first of his family to migrate from Usisya to South Africa in 1932. The son of a chief, he decided to migrate in his early 20s as there were more opportunities abroad, working as a miner in Johannesburg. He returned to Malawi in 1952 and established a grocery store; many of descendants followed in his footsteps to South Africa.",miner; grocer; Johannesburg,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/mtegha_001.html,,,
mtegah_002,,"Life history of Daih Mtegha, medical assistant, Jehovah's Witness missionary","Dee, Henry",2014-05-09,,"In 1951 Daih Mtegha (1930-nd) followed his father, Nkhunda Mtegha, to South Africa. He worked for a number of years in Cape Town as a medical assistant. By the mid-1950s however he had abandoned this profession to become a Jehovah's Witness missionary, a role that would define the rest of his later life both in South Africa and back in Malawi.",medical assistant; Cape Town; Jehovah’s Witness; refugee,"Pretoria, South Africa",-25.746111,28.188056,University of Glasgow,,Record,compound_object,English,In Copyright -- Educational Use Permitted. This interview has been verified by Henry Dee for public display. The reuse of this interview is for educational purposes only.,,compound_object,,,/transcripts/mtegha_002.html,,,
