timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,EM,"Once again today I would like to chat with you two. First, introduce yourselves please",mangochi,,,
,TS,My name? I am Tambuli Samson,,,,
,EM,"Oh! Tambuli Samson, not Stambuli?",,,,
,TS,"No, am Tambuli Samson",,,,
,EM,"Wow! These are English names. So, when did you travel?",,,,
,TS,I travelled in 1972.,1970s,,,
,EM,Oh ok 1972 and back in 1974?,1970s,,,
,TS,Yes,1970s,,,
,EM,How many journeys did you make?,1970s,,,
,TS,Only once,1970s,,,
,EM,"Ok. How about you, Sir?",1970s,,,
,MC,I am McDonald Chiwaya Usi.,1970s,,,
,EM,"So, when did you travel?",1970s,,,
,MC,"Actually, I travelled the same year 1972 but I came back early 1975 because the contract was curtailed and they were busy transporting miners back home, so my turn only came early 1975","1974 plane crash ",,,
,EM,"Wow! So, do you stayed a year without working while waiting for transport to go back home?","1974 plane crash ",,,
,MC,Not year rather a month.,"1974 plane crash ",,,
,EM,"Oh, I see. Do you have any picture or it an item from South Africa with you?",,,,
,MC,"Ohm I don’t have any, they were destroyed. But what I can remember is my coin number which here we call company number. This is what identifies you. When someone reads it, knows this is Chiwaya and nobody else.",documentation,,,
,EM,"That’s interesting. So, do you still remember this coin number? ",documentation,,,
,MC,"Yes, I do",documentation,,,
,EM,What is it?,documentation,,,
,MC,519952,documentation,,,
,EM,"Oh ok, that Chiwawa? Fantastic. So both of you left for South Africa in 1972? That’s when they were about to end the contract in 1975. What happened that they had to end the contract?","1974 plane crash ",,,
,MC,Aaah the rumours we got was that the train fell and that forced Dr. Kamuzu Banda to request that his people come home immediately.,"1974 plane crash ",,,
,EM,"Is that so? So, it was a train not a plane?","1974 plane crash ",,,
,MC,"Yes. I don’t know my colleague what he has to say? As for it was the train. I don’t know what they did to it, hence it developed a fault.","1974 plane crash ",,,
,EM,Where did this take place? In Mozambique or another country?,"1974 plane crash ",,,
,MC,Rumours had it that it happened in Mozambique. I don’t know what my friend has to say.,"1974 plane crash ",,,
,TS,Similar story,"1974 plane crash ",,,
