timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Ibrahim:,I went to Zimbabwe in 1953. I am Yao and a Muslim.,1950s;Islam,,,
,ZG:,Where did you go when you first went to Zimbabwe?,,,,
,Ibrahim:,I went to a place called Hartley. It is between Gatooma and Harare.,Harare,,,
,ZG:,What were your intentions?,,,,
,Ibrahim:,"Initially I wanted to go to South Africa. The problem was at that time there was some kind of political upheaval resulting in them closing the borders to South Africa. That’s why I ended up in Zimbabwe. ",,,,
,ZG:,What type of work did you do there?,textile worker,,,
,Ibrahim:,"I didn’t have a particular job in mind when I went; I was just looking for something to come up. The first job I had was at David Whitehead a textile company. There used to be one here in Malawi as well. While I was working there we were told that all those who had passports should transfer to Zambia, but I refused because I still wanted to go to South Africa. That is when I quit working for David Whitehead. I resigned.",textile worker;documentation,,,
,ZG:,What job did you have next?,miner,,,
,Ibrahim:,"After that I went to work at Gent Mine(?), but it was within the same district. ",miner,,,
,ZG:,How did you travel when you went to Zimbabwe?,transportation,,,
,Ibrahim:,When I was going to Zimbabwe I went from Dedza to Blantyre and then I boarded the train that went through Mozambique. It cost me £1 66 shillings.,transportation,,,
,LP:,When you were going did you have to get registered anywhere?,independent migration,,,
,Ibrahim:,"No we just used to go. ",independent migration,,,
,ZG:,Did you know any other people when you arrived in Zimbabwe?,independent migration,,,
,Ibrahim:,"I just went there of my own free will. At first I used to sleep at the station. In the mornings I would go and look for a job. I didn’t have any relatives there. ",independent migration;housing,,,
,ZG:,Who did you work with?,,,,
,Ibrahim:,"I used to work with white people [azungu]. There was one person from Mozambique. There were also some Malawians and some Zimbabweans. ",,,,
,ZG:,What was your accommodation like when you found some?,housing,,,
,Ibrahim:,"We were given houses with our jobs. We lived in company housing. Some of the people were given houses but others had to look for their own accommodation. At the Gent Mines we were also given accommodation. ",housing,,,
,ZG:,How was the accommodation?,housing,,,
,Ibrahim:,The houses were made of thatch. Sometimes we were given houses and sometimes we were given a number of days to go and build the house ourselves. You were given about four days to go and have a house built. It was like a punishment. Four days was not enough to build a proper house. You would end up having to finish the building after you had knocked off form work.,housing,,,
,ZG:,What were your first impressions of Zimbabwe?,,,,
,Ibrahim:,"When I first arrived there was nothing there that really amazed me. At that time there was a lot of segregation [tsankho]. Malawians were not really wanted there. There was a real segregation between the Shona and Malawians. There was hatred between Shona and Malawians. The only people who used to really like us were the azungu because they thought we were a very hard working people. ",,,,
,ZG:,Were you single or married when you went to Zimbabwe?,marriage,,,
,Ibrahim:,"No I left before I was married. I married in Zimbabwe and I had 12 children. 8 of them are still in Zimbabwe. I only had one wife and I had all of my children with her. Her parents were born in Zimbabwe and she was also born in Zimbabwe. Her great grandparents were actually from Kasungu. ",marriage,,,
,ZG:,Was it easy for you to migrate to Zimbabwe?,documentation,,,
