timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,,<h2>Autobiography of Robert Kadailie</h2>,,,,
,,[Some time in late June or early July 1909] I decided that the only thing to do now is to go to Rhodesia.,1900s,,,
,,All this time my friend was with me. 8 of us all Tonga fellows we left Blantyre for the Rhodesia via Tete.,Blantyre,,,
,,"We walk[ed] the whole day, about 6 O’Clock we arrived at Chikwawa. There at Chikwawa there is a river we must cross and we have to cross at [the] Boma (police camp).",transportation,,,
,,"The police refused that we cross the river, asking us if we can produce permit[s] or passes for Rhodesia. This we failed to produce, and we were ordered to return to Blantyre.",documentation;borders,,,
,,"We had what is called a conference of what we must do, to go back to cross the river. But how we are going to cross it[?]",borders,,,
,,"We went to a village, lower or down [the river, and] we asked the police [for permission] to sleep, this was given to us.",borders,,,
,,The police knew that there is no other place for us to cross except by the bridge which was by the camp.,borders,,,
,,Next morning we asked the native[s] to help us with their canoe. They also refused fearing that if the police heard that they let us cross in their canoe or boat they will be arrested.,borders,,,
,,This river which is know[n] as [the] Shire River is infested with croc[s]. Many natives in this place are being killed by the croc[s].,borders;dangers,,,
,,"We asked one another what must we do, to go back to Blantyre or to go on to Rhodesia[?] We must go.",borders,,,
,,Here you must observe that in Nyasaland there is no tribe braver than [the] Tonga tribe. Even the Government of that country depend most[ly] on [the] Tonga tribe.,borders;dangers,,,
,,"There is no office in Nyasaland without a Mtonga man there, kapetao[s] in every sphere of work in Nyasaland.",borders,,,
,,So in that morning we decided to cross the river croc[s] be damned. Our people are praying for us at home.,borders;dangers,,,
,,"We took off our clothes, to swim the river together, and believe me we cross the river without any of us killed or caught by Mr Crocodile.",borders;dangers,,,
,,[On the] other side we sing Chitonga hymn[s]. The native[s] of that place could not believe they ask how did you cross the river[?] [There are] so many crocs.,music;borders;dangers,,,
,,"Then we start to walk. It was July month and the month of July is a very hot month. [We follow] the river and stream all day, [and] from the river there to the next village we have to walk the whole day. We were so thirsty that most of us could not walk.",transportation;dangers,,,
,,6 O’Clock we reach the next village. There the people wish us kindly and gave us the place to sleep. On the 10th we left this village.,transportation,,,
,,"When [it was] about 12 O’Clock some fellows in the company start to drink some UCHEMA. This is the water the native[s] of that country drink. It comes out of a bark of a tree fall[s] in a cup then [you] drink it. Within 10 minutes a man is [so] drunk that he can hardly walk, even Scotch Whisky is not so strong as this water. (7) 5 out of 7 get drunk. They slept the whole of that afternoon.",alcohol;transportation,,,
,,"About 5 O’Clock we start to walk to [the] next village, arriving there [at] 7 pm. To my surprise at this village I find a wife of a man of our village at home. She welcome[s] us so nicely that we stayed two days at this place, and from here to PEA border is only 6 miles. ",transportation;borders,,,
,,"The morning of 13th we left this place going toward Tete, the capital of PEA. At about 12 O’Clock we arrive at the border, and about 5 O’Clock we came to a big village.",transportation;borders,,,
,,Here we met 4 white men. These white men were recruiting African[s] for certain mines in S. Rhodesia. ([They] had also 4 African women as their wives.) They asked us if we can speak English.,selection process;miner;marriage;language,,,
,,"Out of 7 of us, only two could speak and understand English and they chose us two, myself and a fellow Jacob from Chituka Village, him as a cook, myself as a recruiting agent. I went again to Blantyre.",selection process;language;chef;recruiter;Blantyre,,,
