timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,EM:,"This is my first interview with Mr. Pearson Kumbemba born in 1951, at Satikadzuwa Village, Traditional Authority Mponda, Mangochi District. Passport Number 182596. He travelled to South Africa to work in the mines under WNLA contract while very young at the age of 20. He was then unmarried. In 1974, you must have been very young?",WLNA,,,
,PK:,"Very young, I was not married yet. I married when I came back in 1975.",marriage,,,
,EM:,"So, what motivated you to go to South Africa to work in the mines under WNLA?",WLNA,,,
,PK:,"What drove me to migrate was the level poverty at home. We were very poor at home. I could not continue with school. Hence when I came back, I had saved enough money for my family, wedding, sending to school my children, start business.",poverty;family;marriage;children;entrepreneurship,,,
,EM:,"At your young age, you had already made up your mind that when you come back with the money you could start your life with marriage, send future children to school and start business?",education;children;marriage;entrepreneurship,,,
,PK:,"Exactly. As I knew without going to work in the mines in South Africa, I could not afford to achieve anything.",,,,
,EM:,"So, you didn’t want to rely on parents’ assistance to start your life?",,,,
,PK:,"No, no. Parents did not have anything to offer. They were in terrible poverty too.",family;poverty,,,
,EM:,So how did you manage to go to South Africa? What was the process like?,,,,
,PK:,You just had to get registered. That’s all.,,,,
,EM:,Did you have to pay anybody to get the contract with WNLA?,WLNA,,,
,PK:,Not at all. When registered then you just had to leave to Johannesburg,Johannesburg,,,
,EM:,How did you travel? What means?,,,,
,PK:,We travelled by the railway,,,,
,EM:,Who paid for the tickets?,,,,
,PK:,It was paid upfront by Malawi Government,,,,
,EM:,"Ok. I see. So, when you get there, they welcomed you?",,,,
,PK:,Yes.,,,,
,EM:,"So, would that be a white man or African?",,,,
,PK:,It was an African. The white would be inside the mine. He was the head of operations in the mines. The majority outside were Africans.,,,,
,EM:,"Ok. So, when you arrive in South Africa what happens?",,,,
,PK:,"When we are welcomed at the mine, we were taken to mine school. There we were taught mine etiquette, and a common spoken language in the mine, (fanakalo)since we came into the mine from different countries. We needed a language for a group communication. Ukan kawena, ubani kawena? Who are you? Ubani khuma? Where are you coming from? Uba Sebenza khuti? Where do you work? Unakonalomanakazi? Do you have a wife? That’s the language.",Fanakalou,,,
,EM:,So how long did this training take?,Fanakalou,,,
,PK:,This training took almost 21days or 3 weeks. You by then know the language (fanakalo),Fanakalou,,,
,EM:,Wow! Within three weeks you had mastered it?,Fanakalou,,,
,PK:,"Yes, ready to work in the mine. This the bonus which was not given.",bonuses,,,
,EM:,Oh! This is bonus? Aah ok. Abadala besi,bonuses,,,
,PK:,Yes. Abadala besi. Meaning this is an elder who did not receive his bonus,bonuses,,,
,EM:,"So, this is the sign that you did not receive your bonus?",bonuses,,,
,PK:,Yes. Those who received their bonus do not have this booklet,bonuses,,,
,EM:,"So, this means you are entitled to receiving bonus? Like the compensations being talked about now in the media?",bonuses,,,
,PK:,"Yes, they are not compensation per se but the unpaid bonuses.",bonuses,,,
,EM:,Oh! I see. I thought it was about some compensation based on the health issues.,bonuses;health,,,
,PK:,"No! these about the unpaid bonuses they were to pay us when you go back to resume work in the mines. But in our case, we could not go back because then, the plane crashed. The plane crash ended the working agreement between WNLA and Malawi Government. No Malawian would again travel to the mine under WNLA.",bonuses;1974 plane crash;WNLA,,,
,EM:,"So, it was the plane crash that ended the WNLA contracts?",1974 plane crash,,,
,PK:,"Yes, when the plane crashed, many Malawians to the mines died. And Dr. Kamuzu Banda, the then president of the Republic of Malawi. stopped the whole contracts. So, we could not go again. The agreement was stopped.",1974 plane crash;Dr. Kamuzu Banda,,,
,EM:,is that so? So many Malawian workers died on the plane crush?,1974 plane crash,,,
