timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,ZG:,Do you consider yourself Malawian or Zimbabwean?,,,,
,SL:,"Both, yeah, I mean I think I spent almost forty years in Zimbabwe and later in Malawi.",,,,
,ZG:,"So, do you consider your roots to be in Zimbabwe? ",,,,
,SL:,"Well, yeah because that’s where I grew up and even when I speak in Malawi, they can still detect that I've got a Zimbabwean accent. Yeah, even my Chichewa has a Zimbabwean accent. [Laughs] My English in Malawi they know I speak Zimbabwean English than Malawian English which is more…Malawian English is more Scottish.",language,,,
,ZG:,And your father is from Malawi?,,,,
,SL:,"Malawi yes. He went down to South Africa to look for employment, but on his way, he stopped in Zimbabwe where he got a job first on the farms, then later on he found a job in the post office. Yes, so he was working as someone who was repairing telephones and also putting telephone lines from one big city to another, so that was his work. ",farm labourer;postal worker;electrician,,,
,ZG:,"Do you know how he came to find his accommodation in Zimbabwe? ",housing,,,
,SL:,"Ah, it was quite difficult in those days because there were certain areas that you had to live first when he found [work] in the mines, the mine compounds, there was what they call compounds, where he had worked first in Kadoma, which used to be called Gatoma in those days, but changed to Kadoma. So, he worked there and then went to, he proceeded to Johannesburg and then he came back to Malawi, I mean to Zimbabwe, Rhodesia then and found his job in the post office. Now, they had to go through the town council to find accommodation, which would take almost six months before you were provided one. Yeah, so which was in a squashed area, high-density area, no street, tarmac so on, dust road and so on. But that's how it was. ",miner;housing;Kadoma;Johannesburg;Harare,,,
,ZG:,And he was single when he left Malawi?,marriage,,,
,SL:,"When he went he was single. Yes, he was single then that's when he you know with the arranged marriages that's when my mother was given to him because in their culture… my mother comes from Zambia, yeah in the Eastern part of Zambia, which is called Chipata and they had a similar, similar culture. Yeah, my father comes from Salima. Yeah, their culture was more or less similar, the central region and Chipata and so they had, they used to have these arranged marriages. So, my mother was given to my father when she was only 13. My father was about 50 and so the gap between a 13-year-old and a 50-year-old was just too wide. I was born when my mother was only 14; she almost died, because she was just too small. Yeah, then that’s how they met. Still there was friction between my father and mother because of the gap, yeah so…it went on and that's how we found ourselves dumped in the streets of Harare, yeah. ",marriage;Salima;Harare,,,
,ZG:,"Do you remember much about growing up in Highfield?  ",Harare,,,
,SL:,"Yes, quite much yeah because we lived, because he was with the telecommunications, we started living in a town called ……… in Harare, Highfield Township and then he was transferred to Bindura, in the Eastern part of or err… Northern part of Harare and then Bindura with the post office, working repairing telephones and so on. Yeah, and the houses there were almost what you would call grass thatched houses which were built by the town council, there were no tarmacs there, dusty high density. I remember one time, one house caught fire, which spread into our house, because they were just too close and that's how dense it was and err... often in those days if you had a visitor you had to report to the police because certain townships were not allowed to have you know police, I mean a visitor, you had to report it to the township authorities. Yeah, if you came from like another city and went to another you had to report to the government, I mean to the authorities because of… I think they were sensing that I think it was a way of controlling Africans, you know free movement, yeah free movement and you couldn't pass through the white area after six o'clock.",housing;discrimination;Harare,,,
,SL:,"So you'd be, you know I remember my father when I was tiny little boy, crying as he was carrying me being beaten severely by white people because we had passed through you know white area, yeah. And the police really humiliated him, they had, because he had his bicycle, he couldn't carry all of us, so we had to go quietly, you know even we were not even allowed to cough because they say you'd disturb the white people. So, they took the valve of the bicycle, you know threw them away so he had a flat tyre because he had been moving after six o'clock. And it was still, you know I mean the sun was still there, but just the fact that it was after six, he was in trouble, that I will never forget, because it stuck in my mind to see my own dad being beaten by police. And these were not white police officers. ",discrimination;dangers,,,
,ZG:,They were black police?,,,,
,SL:,"Yeah, but they had to have a white police officer, you know to see, he'd watch, you know see these black beating another black. So those are the instances when, if you talk about the townships white people could come and knock at your house at any time and errrm… yeah, so those are the instances where you are not sure who you were, yeah so…",discrimination;dangers,,,
,ZG:,"Do you think it made a difference to your father because he came from Malawi? Was he surrounded by other Malawians? ",,,,
,SL:,"No, I think at that time Malawians were regarded as foreigners. No matter how best you contributed to the development of the country, you were still regarded as foreigners. I think they used to get Malawians as labourers. Yeah, so Malawians were more ah, people who were doing the dirty work if I may say so. Because you go into the mines, they were full of Malawians, Mozambicans, from Zambia and of course a few from Tanzania and the Congo and so on, Swaziland. Those were the people who worked in mines. Yeah so, they were really, the labour force came from these countries and Malawi wasn't developed, Zambia wasn't developed so all development under the Federation of Rhodesia and Nyasaland, Rhodesia was more developed, because they took all the labour force from these countries and you talk about railway lines.",discrimination,,,
,SL:,"The railways there were three quarters were Malawians, or Zimbabweans or foreigners I should say, but mostly Malawian and then you go into… what else… people who cleaned in the streets were mostly foreigners. Zimbabweans were more and more working in the factories, but here and there you would find a few Malawians working in the factories. But also working in the farms, were mostly Malawian and working in the gardens for white people were mostly Malawian because they were coming from outside, they were very hard-working people. So white people wanted these who came from outside more than those, the local ones, because the local ones wanted good jobs, clean jobs, the white-collar jobs, yeah. And so, but they developed they helped quite a lot in the development. ",discrimination;farm labourer;gardener,,,
,ZG:,Was there any division in the black communities along the lines of ethnicity?,,,,
