timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,,Transcription/Translation from Chichewa,,,,
,,"A formal introduction was done. Interviewees were welcomed, settled, and told what the interview was all about by both Julie and Elias.",,,,
,JW:,"I conducted similar interviews in Mexico about people working in the mines like you. I began to wonder about the history of the people from whom I have contacts in many different parts of the world including Malawi. So, with the help of Mr. Elias Mandala, I am here about asking you about your experiences if you are willing to share with me. And I will be publishing a book about this. I also ask if I may have permission to include your stories. And you can let me know if I can use your names or not. If you would like I want to put these interviews online, so that your children and grandchildren can find them, but only with your permission. ",,,,
,EM:,[translated the question],,,,
,JW:,"With your permission, would I use your names?",,,,
,Group:,"No, problem, you may go ahead with publishing in a book, on website, and use our names as they are presented",,,,
,JW:,"Thank you. So, we may be start with the new men, to introduce themselves, when they went to South Africa, and where they are from? You want to do that?",,,,
,EM:,"Yes, sure let us do that. So, may get the new members that I never had an interview with last time I visited here? Please mention your names clearly, where you come from, years you travelled to South Africa, how many times.",,,,
,Kaliza Bazilio:,"Kaliza Bazilio, born 1948, Went to South Africa in 1972 (22 August started work in the mine) and came back in 1974, worked in the mine called Doornfontein.",Doornfontein,,,
,EM:,So when you came back you never went back?,,,,
,Kaliza Bazilio:,"No, I only went once. Though, I wanted to go again, unfortunately due to the plane crash meant I could not go again.",1974 plane crash,,,
,EM:,Next,,,,
,Beston Makhuva Fred:,"Beston Makhuva Fred, born 1950, went to South Africa in 1971 and came back in 1974. I travelled three (3) times. WNLA went once, and when they were closing, I was still there. The second and third journeys were under TEBA. And they closed TEBA when I was also there. I went last in 1986 and in 1989.",Teba,,,
,EM:,Were you married when you first left for WNLA in 1971?,,,,
,Beston Makhuva Fred:,I left for WNLA when I was married with two children.,marriage;children,,,
,JW:,Do you remember which mine did you work in 1971?,,,,
,Beston Makhuva Fred:,"Yes, Vaalais (sp)",Vaal Reefs,,,
,Kaliza Bazilio:,"I went to Impala Platinum ",Impala Platinum,,,
,EM:,"Kaliza Bazilio, you did not tell me if you were married the time, you made your journey to South Africa?",,,,
,Kaliza Bazilio:,I was then married and with two children,marriage;children,,,
,EM:,Next please,,,,
,Edward Lokote:,"I am Edward Lokote, born in 1949. I went once to WNLA, in 1972 to 1974.",,,,
,EM:,Did you manage to go again?,,,,
,Edward Lokote:,"Nope, I only went once. ",,,,
,EM:,Were you married then?,,,,
,Edward Lokote:,"No, I was not married then.",marriage,,,
,EM:,"Oh, you went as there as saint? Laughs",,,,
,Edward Lokote:,"Actually, I was married but the time I left I was divorced.",marriage;divorce,,,
,EM:,"Sorry to ask, why it ended?",divorce,,,
,Edward Lokote:,"Because I had nothing. She ran away from my poverty. Women are of different categories. Other love for money. Seeing my poverty, she left me for another man.",marriage;divorce,,,
,EM:,"That’s painful, sorry. So, you too had only one journey?",,,,
,Edward Lokote:,Yes.,,,,
,EM:,Next Please,,,,
,Chitani Sane Amidu:,"My name is Chitani Sane Amidu, born in 1950. ",,,,
,EM:,When did you travel first to South Africa?,,,,
,Chitani Sane Amidu:,"I travelled first in 1969 back in 1971, back in 1972 and back in 1974, and back in 1974. I was there when the plane crashed.",1974 plane crash,,,
,EM:,"So, you finished in 1975?",,,,
,Chitani Sane Amidu:,"Yes, I finished in 1975 when WNLA closed. Thereafter, I went three times under TEBA. [Between 1980 and 1989 when Teba also closed]",Teba,,,
,EM:,Were you married then?,,,,
