timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,EM:,Welcome Sir! Tell me about your name,,,,
,AM:,Thanks Sir. I am Alabi Mitawa,,,,
,EM:,Alabi?,,,,
,AM:,Yes,,,,
,EM:,When were you born?,,,,
,AM:,I was born in 1944,,,,
,EM:,"Ok, in 1944 just like my dad. Laughs",,,,
,AM:,Laughs! Ok that’s my friend.,Mangochi,,,
,EM:,Yes and he is alive,,,,
,AM:,"Eh eheh that is my friend, thank you so much",,,,
,EM:,Ok. So you first left for South Africa in 19……?,Mangochi,,,
,AM:," In 1964",,,,
,EM:,"Oh, came and came back when?",,,,
,AM:,"Yes, and came back in 1966",,,,
,EM:,"Ok. So, then you went again in 196…?",,,,
,AM:,"I went back in 1966 and back in 1968, then went back 1968 and back in 1970, went back in 1970-1972, went back in 1972 and back in 1974, 1974-1976, went back in 1976-1978. (I think he was a bit confused with the years)",,,,
,EM:,"So, the contract was for two years, is it?",,,,
,AM:,"Yes, it was for two years indeed. But for the first visit only lasted 11 months ",,,,
,EM:,"Oh, 11 months why? What happened?",marriage,,,
,AM:,"I wanted to test waters. I was not sure how long I would last. Thereafter, I was taking two years of each contract. ",marriage,,,
,EM:,"Oh! I see. ",marriage,,,
,AM:,"Yes, and I was not taking longer at home. Not even 6months. I was immediately going back to South Africa.",marriage,,,
,EM:,Wow! It seems WNLA was also happy with you?,marriage,,,
,AM:,"Yes, and I also got used to it",marriage,,,
,EM:,"So, your first visit where did you land?",marriage,,,
,AM:,In the WNLA mines,Islam;marriage,,,
,EM:,Ok. And was it the same company or you had to change?,marriage,,,
,AM:,"Yes, same company, WNLA",marriage,,,
,EM:,Give me a minute to record these photos…… So your full name?,marriage,,,
,AM:,Alabi Mitawa,marriage,,,
,EM:,"Okay. So, in 1964, why did you have to live to work in the mine? What motivated you?",marriage,,,
,AM:,"I was motivated by my peers who were all going to South Africa to work in the mines. ",marriage,,,
,EM:,"Oh, so it was about seeing your friends leaving and coming that motivated you?",marriage,,,
,AM:,"Yes. Imagine we imitated what friends were up to. Whenever one marries, you were immediately challenged to follow suit. In this case most of my friends were leaving to work in the mines. I had to do likewise.",marriage,,,
,EM:,"So, you were also forced to leave for South Africa to work in the mines like your peers?",marriage,,,
,AM:,"Yes, I was forced to do likewise",marriage,,,
,EM:,I see. And were you married before you left for South Africa?,marriage,,,
,AM:,"Yes, I was married.",marriage,,,
,EM:,Wow! And how many children did you have then?,marriage,,,
,AM:,I had one child,marriage,,,
,EM:,"Oh ok. So, how did your wife and child feel that you were leaving?",marriage,,,
,AM:,They felt good that I was leaving and that I will bring some fortunes for the family,marriage,,,
,EM:,"So, where did you leave the wife and the child?",marriage,,,
,AM:,"That time, we were all living at my wife’s house. (Matrimonial) So, I had to leave them there at her family’s place",marriage,,,
,EM:,"Oh, I see, you had to leave them with her family? Oh. Ok that’s great. Now that you made up your mind to follow your friends to WNLA, what did you do then?",marriage,,,
