timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Elias P.K. Mandala (EM),"May I know your, Sir?",,,,
,Harry Ngumbalo (HN),I am Ngumbalo Harry.,,,,
,EM,"Oh OK, that’s my first time to hear about that name. Am sure white people in the mine had difficulties with it?",,,,
,HN,Not at all. It is simple,,,,
,EM,"So, when were you born?",,,,
,HN,1951,,,,
,EM,"Ok 1951. So, when did you first travel to South Africa for WNLA contract?",,,,
,HN,"In 1974, sorry 1972",1970s,,,
,EM,Oh 1972 and coming back in 1974? When did you go back?,,,,
,HN,No! I didn’t travel again.,,,,
,EM,"Ok. So, what motivated you to travel to South Africa to work in the mines?",,,,
,HN,"Primarily, poverty at my home drove me to seek this WNLA contract. The household I came from was so poor. I just had to.",poverty,,,
,EM,Were you married by then?,,,,
,HN,No. I was not married yet.,,,,
,EM,"That you decided to leave for South Africa to work, was it through WNLA? What qualifications were they asking for?",,,,
,HN,"Yes, I wanted to travel through WNLA contract. There was no requisite qualification so far.",,,,
,EM,What was your qualification then?,,,,
,HN,I had a Standard 8 certification (Grade 8 Leaving Certificate),documentation,,,
,EM,Did this certificate help you in anyway?,documentation,,,
,HN,"No, it didn’t help at all as it was necessary.",documentation,,,
,EM,"Tell me, was there any person who was already in South Africa that motivated you to go and work there?",,,,
,HN,There was no one whom I knew that was there already to motivate me.,,,,
,EM,"So, you decided on your own to travel? So how did your parents feel when you told them that you are travelling to South Africa to work in the mines?",family,,,
,HN,I just told them that considering the situation we have in the family I have decided to travel to South Africa to work in the mines under WNLA. They did not object my proposal at all. They gave me their blessings…… Go son and learn.,family,,,
,EM,"So, from here what did you do? Where did you go?",documentation,,,
,HN,"I went to my village headman to get the letter to the Traditional Authority. When I got the headman’s letter, I went to the T/A for his signature, stamp, and blessings. With T/A Mponda’s letter, I went to the Labour Office in Mangochi District Council.",documentation;Traditional Authorities,,,
,EM,"So, you mean, without this T/A signed letter, labour office would not process your application?",documentation;Traditional Authorities,,,
,HN,"Not at all. It was a necessary process that you get the confirmation of the traditional authority. ",documentation;Traditional Authorities,,,
,EM,What happens at the labour office after showing them your confirmation letter from TA?,documentation;Traditional Authorities,,,
,HN,"The labour officer would take it, and file it, then he would tell you when you should come to their office to hear when you would leave. When you come on that day, they tell you go get ready tomorrow you are leaving.",documentation,,,
,EM,So there were no other measurements whatsoever?,vetting,,,
,HN,"Oh! Yes, there were tests. They would measure your height and weight",,,,
,EM,Was there specific weight and height required by WNLA?,vetting,,,
,HN,"Yes! And if you don’t meet the required height or weight, the officers could remove you from the list of those travelling to South Africa.",vetting,,,
,EM,What next?,vetting,,,
,HN,Then we were sent to Mapanga in Blantyre. They used to keep us in that tall house. They kept us there till the date of leaving for South Africa.,selection process,,,
,EM,"Oh, I see. So, what next?",,,,
,HN,"When everything is set, we were taken to the railway station at Limbe. We left for South Africa by train.",transportation,,,
,EM,From Limbe where were you going? Zambia or Mozambique?,transportation,,,
,HN,"We used to go through Mozambique. Straight to Dondo, Mashipanga, Mutare, Saulsbury now Harare, Bulawayo, Botswana,",transportation,,,
,EM,In Botswana where?,transportation,,,
,HN,"In Francestown, then Mafikeng, Johannesburg, Germiston, Pretoria then to the mine, in Rustenburg to Union Section Mine in South Africa",transportation;Rustenburg,,,
,EM,"So, you are now at the Mine, what happens?",,,,
,HN,"When we arrived at the Mine, we received food and uniform (mkwacha), after getting food were then shown where we are to put up.",clothing,,,
,EM,After that what else?,,,,
,HN,Early in the morning we were taken to the school mine. After that we were taken to see the doctor to get an injection on the chest (bere).,medical inspection,,,
,EM,An injection? What was it for?,medical inspection,,,
,HN,"Not sure. I don’t know what it was. However, others were saying that it was to energize us (mphamvu). That you lift heavy stuff.",medical inspection,,,
,EM,Ok I thought it was to reduce sexual feelings especially that you are men only in the mines?,medical inspection,,,
,HN,Oh no. Only to give you energy to lift heavy stuff.,medical inspection,,,
,EM,After the injection what else?,medical inspection,,,
,HN,"We then go to school mine. This school was helpful because we learnt all the stuff done in the mine. It helped us know what happens in the mine. ",miner,,,
,EM,"So, in the mine what were you doing?",miner,,,
,HN,"I was the one making holes for other miners. I was called Tchisa boy. I was very young but with the energy we received I managed to carry out such heavy machinery,",miner,,,
,EM,Oh Okay! Interesting. Tell me how were sleeping? Same hostel/accommodation with other nationalities?,housing,,,
,HN,Malawians and Shanganis were mixed. But the pongos (locals) were not allowed to me mix with us Malawians and Shanganis.,housing;Shangaan people,,,
,EM,"Oh, that’s great. So, who was izibodo?",housing,,,
,HN,"This the head, leader in the house we are sleeping. We elected him to take care of our needs and security. He was also a peace maker",housing,,,
,EM,"So, what was the relationship between Malawians and the leaders in the mine? What about with other nationalities?",housing,,,
,HN,We had a very good relationship with our leaders in the mines (pass boys). We were only concentrating on working and leaders were not showing any favoritisms to any nationals. The leaders (pass boys) were encouraging to work hard and realize where we came from.,housing,,,
,EM,Were the mines clean?,,,,
,HN,"Oh yes, the mines were always clean. Knowing there is too much dust, those on health department made sure that the mine is always clean. They were first to come to the mines to clean, and clear damages, clear moveable toilets, fix them all for safety of the miners.",,,,
,EM,That means the mine was taken a good care. You had a good environment.,,,,
,HN,"Very much so, we never complained.",,,,
,EM,In case there were some issues miners did not like what were doing to make them be heard?,,,,
,HN,"Ommmm to be honest we never had issues in the mine. They create a good environment for us to work hard. In my case I had one man I worked with. The boy was called spanner boy. This boy would be removing the debris after I made the holes. So, we worked just the two of us. We hardly had issues.",,,,
,EM,Where was this boy coming from? Malawi?,,,,
,HN,"No, he was from Mozambique. In the mine we could mix no problem. Could be from anywhere",,,,
,EM,In the mine did you have the privilege to watch TV or listening to radio? Watch film?,,,,
,HN,Ohmmm that time we had no TVs. We had was the radios. We had individual radios to listen to news from home and local. We could listen on our free time.,radios,,,
,EM,I know the time you were there; apartheid was at its climax in South Africa. Did this affect you in the mines or outside?,apartheid,,,
,HN,"No way. It never affected us all. We hardly went out in the communities to experience. If anything, we could hear on radios.",apartheid,,,
,EM,How about newspapers? Were you accessing them for your readership?,,,,
,HN,"Ohmmmm I was not bothered to get local newspapers from Malawi. I did not even read South African newspapers. If anything, I was only interested in listen to news from Malawi on the radio.",radios,,,
,EM,To hear what Dr. Kamuzu Banda said?,Hastings Kamuzu Band,,,
,HN,"Exactly, I wanted to know how he is doing. He was such a tyrant man.",Hastings Kamuzu Band,,,
,EM,"Oh! Ok. While you were working, did you have thoughts or fears of losing your job especially in the middle of the contract?",,,,
,HN,"Oh no. You know what we knew the exact date of the end of our contract. And they made sure we finished our contracts. So, I had no fears unless being sick and then decide to leave for home.",,,,
,EM,"Is that so? So, would they treat you the same way as you travelled to South Africa when returning home?",,,,
,HN,Exactly same treatment. They made sure we land in Malawi and to our families. They were very caring on that regard.,,,,
,EM,"So, nothing that you complained about on these journeys?",,,,
,HN,No complaint,,,,
,EM,Tell me who was paying for transportation?,transportation,,,
,HN,"I really do not know. Could be them (WNLA) or Malawi government. We were only travelling, being served with food etc. without knowing who is responsible.",transportation,,,
00:21:49,EM,"While working in the mine, were there some accidents of different nature? What was WNLA doing then? Compensate?",injuries,,,
,HN,"Yes, many accidents. Many were receiving first aid right away. But I know one Malawian who was coming from Ntcheu who was cut fingers. He could not continue working and was sent home. He was given money as part of compensation. I knew this because he was my roommate.",injuries,,,
,EM,Oh okay. I am told there was too much dust in the mines. Were TB and other diseases common in the mines?,tuberculosis,,,
,HN,"Yes, too much dust. But it was not a big deal.",tuberculosis,,,
,EM,Did you not suffer?,tuberculosis,,,
,HN,"Me? No, I did not suffer from it. And every six months they took us for TB testing.",tuberculosis,,,
,EM,Is that so?,tuberculosis,,,
,HN,Yes. Every six month,tuberculosis,,,
,EM,"Oh! That was good. I asked you earlier on and want to ask again. During your acquiring WNLA contract processes, did you have to bribe any officer to fast track or recommend you?",documentation;Traditional Authorities;corruption,,,
