timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,,"Samuel Phiri was born in Chiradzulu District and attended Parma School there, but left from Zomba, after the death of his father “to go to work” in order to earn money; “he wanted buy clothes, to help the mother”. By this time he was already married, leaving behind a wife, Sarah. He would remain abroad for over two decades “because he was upset, he did not come home”.",Chiradzulu;capital;work;clothing;remittances (voluntary and forced);marriage,,,
,,"Phiri left Nyasaland in 1943 in a group of 15 friends, with no passport, walking through the bush. He travelled light and carried his possessions in a bundle on a stick which he carried over his shoulder. On the road “he had man-made pots, maize meal dry meat, dry vegetables and traditional peanut butter”. At night Samuel and his fellow travellers would hide in trees from lions and snakes - nevertheless people would disappear on the way. Whilst travelling farmers provided shelter and food in return for labour.",1940s;documentation;transportation;food;dangers;farm labourer,,,
,,"Travelling on foot, he took 3 months to find a job in Zimbabwe. He did find work as a tailor for a number of years, but he eventually left this job the country “was not comfortable for him, no nice money, no nice job.” He arrived in South Africa in 1953. Though he had left with 14 other Malawians, only 5 made it South Africa – a number being killed by wild animals on the way. Samuel though “was a survivor”.",transportation;tailor;1950s;dangers,,,
,,"On arrival in South Africa he found employment in Johannesburg as a chef, “he had a good education but the foreigners when they came here they didn’t have a nice job because they need pass to show that they can work here because they coming themselves. If you wanted to work in a nice job, you were supposed to apply in Malawi.” He soon however found his forte as a tailor. Initially he was based at Kempton Park and worked in Jameston. This job meant he gained skills; learning how to make clothes, skills which he would use in later when he set up his own business.",Johannesburg;chef;documentation;tailor;business owner,,,
,,"Samuel met Johanna, a coloured South Africa, in Middlebank during the early 1950s. Johanna was from Lake Timbek, in Mpumalanga her family having come to Johannesburg as migrants. In 1960 Johanna started a job as a domestic worker and nanny for the Prolius family - in particular looking after the youngest Prolious son, Joe who was born the same year, and was nicknamed ‘Obus’.",1950s;dating;marriage;domestic servant;1960s;Johannesburg,,,
,,"The young Phiri family, who already by this time had three sons Gerd (also known as Richard) born in 1954, Stephen (also known as Tain) born on 7 September 1956, and Moses born 8 May 1960, moved to the Prolius family farm where accommodation was included as part of Johanna’s job. The Phiri and the Prolious family were closely integrated, Fred Prolious recollecting that the children “all grew up together” catching and cooking rabbits and guinea fowl in the fields together. Janet felt “we were like sisters and brothers”. The parents of both families had a similarly close relationship –for Joe “those years was good years better than today and nothing can change that”.",children;domestic servant,,,
,,"Samuel ran a tailoring business from this plot. Joe recollected that “every day he got on his bicycle, finding where are the orders, coming back making clothes – everything that you wanted her father could make...he made it on the farm and then delivered to the people... Every day we would see him on the sewing machine – he was very fast.” Equipped with a pedal-powered Singer sewing machine he sold suits to customers across the local community, stocking his material from Johannesburg. He was also a prolific suit wearer himself – Janet remembering that he “was always in suits, he didn’t dress traditional – he did have one traditional but he was always a gentleman with his suits, always...”",tailor;business owner;bicycles;clothing,,,
,,"In 1962, Samuel and Johanna married, in a “white wedding” ceremony at Zambezi church in Tembisa. A fourth son, Leonard was born in 1963, he however was only to live for a year passing away in 1963. Nevertheless he was followed by Janet on 1 April 1964, Butiki 23 March 1966 and Nudi (John) 31 January 1970.",Zambezi Evangelical;1960s;marriage;children,,,
,,"During this time Daddy was also President of the Tumbuka Burial Society alongside fellow Malawians, ‘Straight Number One’ the chairman, and Scotch the treasurer. The society - around 300 members - would have weekly meetongs outside the Phiri’s house. “My father was talented you know – he was doing everything.”",Tumbuka Burial Society,,,
,,"Johanna worked for the Prolius family for 16 years, until 1976 when the Prolious parents retired and sold the farm. The Phiri family then moved to Tembisa. When they first moved to Tembisa, Samuel started work at African Gate – a company which made fencing. He worked for this company until he retired in 1984. He continued his tailoring alongside this job and during this time, “business was very good for him”. He owned a number of sewing machines, and made suits for a lot of people in Tembisa and his brothers back in Malawi.",factory worker;tailor;business owner,,,
,,"In Tembisa, Samuel was an elder at the Zambezi Church, which “had lots of Malawians” and was run out of the Emoriting School. Over the next few years he worked his way up through the system, eventually becoming a minister.",Zambezi Evangelical,,,
