timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,,"Yusuf Saidi grew up in Salafi, Mangochi District, where his father was both a local chief and imam with three wives. Born in 1928, the youngest of his mother's six children, his daughter Sakina recalled that he was “he was extremely spoiled.” Though he was the first son of his mother, Sakina, his father already had another son, Ahmed, through his first wife. As Sakina was descended from royalty, and did not think it was her job to raise children “the third wife actually raised my father, and his siblings”.",Mangochi;Islam;Traditional authorities;imam;family,,,
,,"Yusuf's family was relatively well-to-do with numerous cows, chickens and goats. Yusuf “was educated islamically, because his father was a sheikh, a mawlānā. Because he was the only son, he was then educated. My aunts were not educated, but my aunts married well - one was married to a doctor, another to a farmer, the other three were married to mawlānās, and they all had lots of children.” After being educated at the local madrassa, Yusuf left to be schooled in Zanzibar. Though he didn't elaborate much about this period, he spoke Swahili fluently, and read Arabic very well. His daughter Sakina, though aware that Yusuf’s father was descended from a Swahili mother and Arab-Swahili father, but could not elaborate any more on his childhood.",Education;Islam;Family;Marriage,,,
,,"In the mid-1950s when Yusuf was 25, he was sent by his father to retrieve his brother Ahmed from South Africa. Not much is known about how Yusuf travelled south, but he certainly didn’t walk. Travelling either by bus or truck through Blantyre and then on through Zimbabwe he passed relatives of his mother living in Messina, and then probably hitch-hiked from the north of South Africa south to Johannesburg.",1950s;transportation;Johannesburg,,,
,,"Ahmed had been working in a mosque in Germiston for a number of years, and persuaded Yusuf to stay instead of returning to Malawi. Initially, he arranged a job for Yusuf at the Avalon Bioscope - a cinema in Fordsburg, Johannesburg run by Indian Muslims who Ahmed knew. With a number of relatives already there, South Africa was a more attractive place to live – “it was a better life, there were more opportunities...”",work;Islam;Johannesburg;cinema worker,,,
,,"From the 1940 through to the 1970, “Fordsburg was at the cutting edge of black urban culture. It was defined amongst much else by its anti-apartheid protest rallies at Red Square; its fish and chips and toasted steaks; its gangsters and romantic liaisons; its music, clubs and street fashions; and most prominently by its four bioscopes, off the street and within just a few blocks of one another.”",Johannesburg;apartheid;food;social life;music;clothing,,,
,,"Yusuf spent a year working at the cinema, and it was during this time that he met Hawa, his future wife. Hawa was 15 at the time, a Ndebele and a Presbyterian. Hawa converted to Islam and the couple married in early 1956, the same year that Sakina was born. Yusuf did not insist that she converted to Islam, Hawa “became Muslim because she wanted to. My dad gave her the opportunity to opt out if she didn't want to be Muslim, but he would not have stayed with her if she was not Muslim because it was important for him.” Sakina recalled Hawa's “family had disowned her because she had married my dad.” As noted by their granddaughter Rabia, “to marry out of your own racial caste is something that is really frowned upon, so my grandpa and my granny had a shared experience like that. They were kind of disconnected from the normal family set up and all they had was each other. They were a very loving couple. you would expect because he was a mawlānā and had a religious position within society he would be dominant but that wouldn't be the case....when you look at the rights of a woman, a Muslim wife is not expected to cook or clean, your role as a husband is to aid with domestic chores, to split those chores and to honour your wife and to treat her with the utmost respect...what's there in the text is what I experienced with him, how he treated his wife and how he raised his daughters.”",cinema worker;dating;Presbyterianism;Islam;1950s;children;marriage;discrimination;family,,,
,,"Hawa was a strong woman, and though Yusuf was a patriarch, he referred “to my mum on everything, and he was asking her what do you think on this and that, and my mother was giving him advice. I was like wow, so it's my mum who runs the show in all these areas.”",marriage,,,
,,"After a year working at the cinema, Yusuf became a muezzin at the Kerk Street mosque in Johannesburg, taking the call to prayer and leading prayers. Within the Muslim community, Yusuf was known as Ismail Mohamed. In 1961 Yusuf worked at the Queen's Street Mosque, and the family relocated to Pretoria. A number of years later, it was here that Yusuf met Signal Phiri, who remembered him as “a nice man”.",Muezzin;Islam;Pretoria,,,
,,"Most of his time in South Africa however was spent in Marabastad - for Sakina, “that's where we grew up.” Yusuf's family lived within the precincts of the Marabastad mosque, which at the time was located in a coloured district alongside two other families.",Pretoria,,,
,,"Ismail A Kalla who knew Yusuf during his time in Marabastad recalled  he recited the call to prayer and led prayers five times a day. “He had a very good voice, he was very articulate in his Arabic prayers...He was a very well-rounded gentleman and he had a very pleasant personality...He was one of the leaders in the mosque, a leading personality.” Very well read in the Quran and the Prophets, “his Arabic pronunciations were very powerful...Everybody loved him.” Other Malawians attended the Marabastad mosque “coming to prayer there were many who were working somewhere else. Within the mosque there one or two others, but he was  a man of stature...leading personalities like him, they were few and far between, he was one of the outstanding personalities.”",Muezzin;Islam;Pretoria,,,
