timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Ronnie Banda (RB),"“My father was a linguist – he could speak fluent Afrikaans, he could speak Portuguese, he could speak all these African languages Xhosa, Zulu, Tswana, Peggi, he learnt them whilst he was here...and you would be surprised my father could not speak Chichewa which is our main language and he could speak all these languages, Zulu, Xhosa...When he left South Africa and worked in Zimbabwe, he was a train steward and he was travelling out of the country...he could speak Portuguese, but he hadn’t been to Mozambique.” ",,,,
,,"Sam Banda was born in 1918, a Tonga from Chiperembe, Nkhata Bay. He did not tell Ronnie much about his parents but his father was probably a farmer. ",,,,
,RB,Sam was schooled at Bandawe Mission School and for that time “he was regarded as someone who had achieved everything as far as education is concerned.” ,,,,
,,"He finished school around 1938, and for the following 12 years took part in the local fishing industry on Lake Nyasa which provided “the livelihood of the people along the lakeshore”. ",,,,
,RB,"He left for South Africa in 1950, “for greener pastures. Because by then there was very little that people could do in Malawi and with his education he was tempted to find greener pastures.” ",,,,
,,"Liaising with other ambitious young men, Sam walked as part of a large group from Nkhata Bay:",,,,
,RB,"“They would travel in a group of not less than 20 because you know the dangers along their route. Countries did not look [after animals] very well in terms of their game reserves - it was not as organised as it is today. They could travel in groups of not less than 20...”",,,,
,,"This group was led by experienced migrants –",,,,
,RB,"Within the group there were people who could direct them, who knew where they were going. And these could be hired, they could be paid.",,,,
,RB,"These ""navigators, people who could direct them this is the way how to get to South Africa, the route... on their arrival they would pay them whatever, you know was agreed upon – they would travel for 3 months.” ",,,,
,,"During his time in Cape Town, Sam met and socialised with fellow Tonga, Clements Kadalie.",,,,
,RB,"I think they might have a few things in common, because Clements Kadalie, he was an educated person, so was my father...",,,,
,,"Kadalie was his mentor.",,,,
,RB,"He would always mention Kadalie – very much looking up to him as a role model... he was amazed by his leadership skills – being a foreigner, being a person who could call the masses and listen to his views as far as the labour regulations were concerned. So he was very amazed by Clements Kadalie how he could organise people.",,,,
,RB,"He was very into suits...he liked his corporate attire...he liked also bow ties, and Wilson hats, with a feather on the side.",,,,
