timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Elias P.K. Mandala (EM),"Today is Saturday, 8th July, 2023. I am here in Mangochi to chat with women whose husbands travelled to South Africa, under WNLA arrangement/contracts between 1939 to 1975. Some of these women’s men traveled beyond WNLA to TEBA from 1977 to 1988. So these women have rich and personal stories to share.  ",,,,
,EM,"I want to welcome you all to this group interview. This time, I will have a group interview where each one of you will be given opportunity to express your experiences. You will also be given opportunity to ask questions. At any point you feel to share please come in with your contribution. Stop me and share your experience. ",,,,
,EM,"These experiences are vital to our learning, for the future of our kids. They will learn the brevity of their grandfathers, leaving the country for greener pastures, to lay a good foundation for their children. Their family and grandchildren are now enjoying their lives because these grandfathers sacrificed themselves a lot of things to make sure they set out a good foundation for their children and possibly clan. ",,,,
,EM,"Therefore, I want you all to be open and free to share your stories based on my questions/ though not restricted to share other key elements/facts behind your stories. This sharing will help us keep your stories, and that of your husbands. The future generation will appreciate these stories. If you hide these rich stories, the future generation will not have no bank of stories to learn from. You just told me that you lost the letters that you exchanged with your husbands while away. We all lost a huge treasure.  ",,,,
,All,"Indeed we lost them because we never realized of their importance. (No chidwi). We lost them as something of no use. ",,,,
,EM,"You see. If only you held them at heart today we could have been reading them, bringing back the lost memories. So today your stories might be telling me, but would in the future benefit a lot of people. So your stories will be kept very safe on the internet. So your openness will be greatly appreciated.  ",,,,
,EM,"Therefore, before I come to the main interview, I need to establish with you a few things. Firstly, be aware that whatever we are doing here will be recorded. Secondly, all the recorded information will be kept very safe on the internet.  That way, all the recorded material shall be made accessible to all interested parties be it lecturers, students of all walks of life, our children. That way, your grandchildren will not be strangers to such stories themselves when asked in the future. ",,,,
,EM,"When I get up to here, can I get your consent to record and keep these rich stories online, on the internet where all interested stakeholders can ably access? ",,,,
,All,"Very possible and you can go ahead. ",,,,
,EM,"Please respond with energy ",,,,
,All,"Yes go ahead and do like that. (Consent) ",,,,
,EM,"These interviews are not necessarily mine. I am conducting them on behalf of Professor Julie Weise. Do you agree that she can also access them, use them for her books and articles in the future? ",,,,
,All,"Yes, she can have access to any document she would like to have. ",,,,
,EM,"What I mean by asking you all is consent. We don’t want that in the future you come accuse us for keeping materials you never consented to.  ",,,,
00:05:47,All,"So far we don’t have any problem with that. You may advise her to have full access to the material shared. ",,,,
,EM,"Now am ready to ask you to first introduce yourselves, individually, where you came from, your husband’s name and possibly when they travelled, and how often did he travel (no. of journeys). For instance, if he traveled in 1961 and back in 1962, then in 1963 and back in 1964, that would mean your husband traveled twice. ",,,,
,EM,"I will start with you madam. ",,,,
,EM,"Tereza Saiwala? ",,,,
,Tereza Saiwala (TS),"Yes. ",,,,
,EM,"Your husband? ",,,,
,TS,"Sinosi Saiwala ",,,,
,EM,"What village are you coming from? ",,,,
,TS,"From Mkanjo Village, TA: Mwambo, District Zomba. ",Zomba,,,
,EM,"So what brought you to Mangochi? ",,,,
,TS,"After all the travels, we migrated to Mangochi for labour. We ended settling here ",,,,
,EM,"Is your husband alive? ",,,,
,TS,"No he’s dead. Died two years ago (2021) ",,,,
,EM,"Sorry to hear of the loss. So would you remember when he travelled and how many journeys? ",,,,
,TS,"Yes I do remember. He traveled twice. The first journey was in 1960. So he came back in 1962. ",1960s,,,
,EM,"So when did he go back? ",1960s,,,
,TS,"He went back just after a month. Meaning he left in 1962 and back in 1964. ",1960s,,,
,EM,"Do you remember when he was born? ",,,,
,TS,"No I can’t remember as I lost all the documents. ",,,,
,EM,"How many children did he live you with? ",,,,
,TS,"He left me with six (6) children. Unfortunately, I lost one ",,,,
00:10:40,EM,"Thank you so much for this detailed introduction. We will meet later after other introductions. ",,,,
,Aisha Bakali (AB),"My name is Aisha Bakali ",,,,
,EM,"Oh these are Mangochi names ",,,,
,AB,"Exactly ",,,,
,EM,"Your husband’s name? ",,,,
,AB,"Pande Njira Bakali ",,,,
,EM,"From where? ",,,,
,AB,"From T/A Mponda, Mangochi ",Mangochi,,,
,EM,"Is he alive? ",,,,
,AB,"Oh no his dead. He died in 1999 ",,,,
,EM,"How many journeys did Mr. Pande Bakali travel? ",,,,
,AB,"He traveled twice.  ",,,,
,EM,"From when? ",,,,
,AB,"1964-1966, and went again in 1967-1969. ",1960s,,,
,EM,"So he made two WNLA journeys. So did he go again for TEBA? ",,,,
,AB,"Yes he did and stayed only for 9 months and that was in 1973. ",1970s,,,
