timestamp-old,speaker,words,tags,highlight,timelink,timestamp
,Elias P.K. Mandala (EM),"Welcome Mrs Zulu and Alabi Mitawa. I am Elias Mandala, a research coordinator for Professor Weise, an American scholar working on the labour migration. I will be going through with you on a set of questions that will direct our conversation today. Please feel free to answer or not to answer the questions. Your cooperation will be highly appreciated.  ",,,,
,EM,"Before I continue with the questions, I would like to seek your consent, to record, and also that Prof. Weise, other academics use this discussion for book, article, and online publications. Do you have any reservation? ",,,,
,All,"Not at all. Feel free to do that.  ",,,,
,EM,"I take this as your consent for us to record and publish where necessary? ",,,,
,All,"Exactly. ",,,,
,EM," Now can you please introduce yourselves. ",,,,
,Margret Alabi Mitawa (MM),"I am Margret Alabi Mitawa. I come from the area called Katema, Village headman Mpitirira, T/A Mponda, Mangochi District.",,,,
,EM,"Oh the area is called Katema? ",Mangochi,,,
,MM,"Yes.  ",,,,
,EM,"That’s fine. Now Mrs. Zulu is your turn. ",,,,
,Samiyatu Zulu (SZ),"I am Samiyatu Zulu. I come from the area of Namkumba, Traditional Authority Namkumba, Mangochi District. ",Mangochi,,,
,EM,"Oh ok. Is Mr. Zulu alive? ",,,,
,SZ,"No. He passed on. ",,,,
,EM,"Oh! Sorry to hear that. Would you remember the year? ",,,,
,SZ,"Yes. It was in 1996. ",,,,
,EM,"Well, I once again welcome you to this discussion. Feel free to ask, stop me or even not to answer a question you don’t feel like answering. In case you don’t understand any question, please ask me to rephrase it. Now we can start the conversation. ",,,,
,EM,"In case you have any documentation or photos please let me have them scanned later after the conversation. ",,,,
,EM,"To begin with, I want to know more about your childhood before you met your husbands. ",,,,
,MM,"Before I met my husband, Mr. Mitawa, I used to live with my mother and father. They raised me till Mr. Mitawa’s parents spotted me for their son. They approached my parents of their wish.  ",marriage,,,
,EM,"Oh! Explain to me again. You mean your husband’s parents approached your parents and proposed marriage for their son, Alabi? ",marriage,,,
,MM,"Exactly. That was the way marriages happened. Parents would arrange marriages for their children. As children, we had little influence on who to marry us. ",marriage,,,
,EM,"What if the child didn’t like the proposed man or woman? Would the wedding go on? ",marriage,,,
,MM,"Yes would go on. Normally parents had a good reason for their choices. You had little influence at that moment. They had a good knowledge of the boy’s or the girl’s attitude, behaviours, and abilities at the farms or gardens. So we had to go along with parents’ choices. ",marriage,,,
,EM,"So even if the guy doesn’t look liking the girl, must marry her? ",marriage,,,
